date	latitude	longitude	location	attacker	agent	affected pop	casualties	description
4/8/18	33.57	 36.404722	"Duma, Syria"	Syrian Government	Sarin	civilians	"40 killed, 600+ injured"	Bombs containing a nerve-agent (Sarin) mixed with Chlorine
21 - 27 Oct 2016	36.37	43.12	"near Mosul, Iraq"	Islamic State militants	sulfur	"civilians, soldiers"	"2 killed, 1,500 injured"	"sulfur mine set on fire, producing widespread sulfur dioxide plumes"
3/8/16	35.30	44.33	"Taza, Kirkuk, Iraq"	Islamic State	blistering agent	civilians	"1 killed, 600 injured"	attack on town; fatality was 3-year-old child
1/23/15	36.36	43.06	"between Mosul, Iraq, and Syrian border"	Islamic State militants	chlorine	Kurdish soldiers	~30 injured	truck bomb with chlorine-filled tanks used against troops
Sep - Oct 2014	34.03	 44.194676	"Duluiya and Balad, Iraq"	Islamic State militants	"chlorine, possibly mustard gas"	Iraqi and Shiite soldiers	40 injured	bombs with chlorine-filled cylinders used against defending troops
27 Mar - 22 Apr 2014	33.56	36.39	"Syria--Damascus, Kafr Zita in Hama, and Talmenes in Idlib"	Syrian military suspected	"chlorine, others"	civilians	"104 killed, 200 injured"	chlorine bombs used on civilians in two towns
8/21/13	33.58	36.35	"Damascus suburbs, Syria"	Syrian military	sarin nerve gas?	civilian urban areas	"1,429 killed (including 426 children), 2,200 injured"	"rockets with chemical agents fired at about 12 areas in suburbs south and east of Damascus, targeting rebel-held areas"
19 Mar - 13 Apr 2013	34.80	39.00	"Syria--Damascus, Al-Otaybeh, Khan al-Assal, Adra, Aleppo, Sheikh Maqsoud, and Saraqeb"	Syrian military?	multiple chemical agents?	rebel soldiers and civilians	"at least 44 killed, 76 injured"	"multiple attacks, mostly blamed on Syrian government; Syrian government accuses rebels of the attacks"
Apr 2012 - Jun 2013	35.07	65.24	"Afghanistan--Takhar province (9), Sar-e-Pul province (4), others"	Islamist terrorists	pesticides?	schoolchildren	"1,952 injured (including 1,924 children)"	"23 poison attacks on girls' schools, some cases of water poisoning"
Mar 2012 - Apr 2013	34.03	65.18	Afghanistan	Islamist terrorists	rat poison?	"police, other civilians"	"53 killed, 40 injured"	9 attacks involving poisoning of food at police stations/academies
Apr - Aug 2010	34.54	69.22	"Afghanistan--Kabul (6), Kunduz (4), others"	Islamist terrorists	pesticides?	schoolchildren	672 injured (including 636 children)	20 gas attacks on girls' schools
3/11/07	33.10	43.53	Iraq	Islamist terrorists	mustard gas	U.S. soldiers	2 injured	failed improved explosive device using chemical weapon artillery shells
Oct 2006 - Jun 2007	33.44	44.08	"Iraq cities--Ramadi (6), Baghdad (3), Falluja (3), others"	Islamist terrorists	chlorine	civilian targets	"115 killed*, 854 injured (including 85 children)"	"15 car/truck bombings with chlorine tanks used; most fatalities were from the explosions, most injuries from the chemical releases"
10/8/06	32.54	45.40	"Numaniyah, Iraq"	Islamist terrorists	poison	policemen	"7 killed, 700 injured"	poisoning of food at meal on police base; unconfirmed
9/25/06	33.31	44.36	"Baghdad, Iraq"	Isalmist terrorists	mustard gas	U.S. soldiers	2 injured	improved explosive device using chemical weapon artillery shells
5/15/04	33.31	44.36	"Baghdad, Iraq"	Islamist terrorists	sarin nerve gas	U.S. soldiers	2 injured	failed improvised explosive device using chemical weapon artillery shell near Baghdad airport
24 Jun - Jul 2003	36.37	43.12	"near Mosul, Iraq"	Islamist terrorists	sulfur	"civilians, soldiers"	? injured	"sulfur stockpiles at mine set on fire, producing widespread sulfur dioxide plumes; at least 41 U.S. soldiers injured"
11/11/02	29.03	111.71	"Changde, PR China"	criminal	poison	schoolchildren	193 injured (mostly children)	poisoning of food at high school
10/26/02	55.76	37.58	"Moscow, Russia"	Russian soldiers	fentanyl incapacitating agent	terrorists and civilian hostages	"124 killed, 501 injured"	"Chechen terrorists took 800 hostages at Moscow theater, 23 Oct; Russian forces used fentanyl when storming the theater and killing all the terrorists on 26 Oct, but many hostages were killed or injured by the gas"
18 Sep - 9 Oct 2001	40.71	 -73.883665	"New York City, NY"	Bruce Ivins?	anthrax	government and civilian media individuals; postal employees and customer	"5 killed, 17 injured"	anthrax-laced letters mailed to federal officials in Washington DC and new media offices in multiple locations; many casualties among postal workers
18 Sep - 9 Oct 2001	38.90	77.01	"Washington, DC"		anthrax	government and civilian media individuals; postal employees and customer	"5 killed, 17 injured"	anthrax-laced letters mailed to federal officials in Washington DC and new media offices in multiple locations; many casualties among postal workers
